Poster_Link,Series_Title,Genre,Director,metadata,metadata-prep,metadata-prep-lemm
"https://m.media-amazon.com/images/M/MV5BMTA0Y2UyMDUtZGZiOS00ZmVkLTg3NmItODQyNTY1ZjU1MWE4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",Charade,"Comedy, Mystery, Romance",Stanley Donen,"Comedy, Mystery, Romance Stanley Donen Cary Grant Audrey Hepburn Walter Matthau James Coburn Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?",comedy mystery romance stanley donen cary grant audrey hepburn walter matthau james coburn romance suspense ensue paris woman pursued several men want fortune murdered husband stolen trust,comedy mystery romance stanley donen cary grant audrey hepburn walter matthau james coburn romance suspense ensue paris woman pursued several men want fortune murdered husband stolen trust
"https://m.media-amazon.com/images/M/MV5BOTY0ZTA1ZjUtN2MyNi00ZGRmLWExYmMtOTkyNzI1NGQ2Y2RlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",The Manchurian Candidate,"Drama, Thriller",John Frankenheimer,"Drama, Thriller John Frankenheimer Frank Sinatra Laurence Harvey Janet Leigh Angela Lansbury A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.",drama thriller john frankenheimer frank sinatra laurence harvey janet leigh angela lansbury former prisoner war brainwashed unwitting assassin international communist conspiracy,drama thriller john frankenheimer frank sinatra laurence harvey janet leigh angela lansbury former prisoner war brainwashed unwitting assassin international communist conspiracy
"https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Spartacus,"Adventure, Biography, Drama",Stanley Kubrick,"Adventure, Biography, Drama Stanley Kubrick Kirk Douglas Laurence Olivier Jean Simmons Charles Laughton The slave Spartacus leads a violent revolt against the decadent Roman Republic.",adventure biography drama stanley kubrick kirk douglas laurence olivier jean simmons charles laughton slave spartacus leads violent revolt decadent roman republic,adventure biography drama stanley kubrick kirk douglas laurence olivier jean simmons charles laughton slave spartacus lead violent revolt decadent roman republic
"https://m.media-amazon.com/images/M/MV5BZDFlODBmZTYtMWU4MS00MzY4LWFmYzYtYzAzZmU1MGUzMDE5XkEyXkFqcGdeQXVyNTc1NDM0NDU@._V1_UY98_CR1,0,67,98_AL_.jpg",L'avventura,"Drama, Mystery",Michelangelo Antonioni,"Drama, Mystery Michelangelo Antonioni Gabriele Ferzetti Monica Vitti Lea Massari Dominique Blanchar A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",drama mystery michelangelo antonioni gabriele ferzetti monica vitti lea massari dominique blanchar woman disappears mediterranean boating trip search lover best friend become attracted,drama mystery michelangelo antonioni gabriele ferzetti monica vitti lea massari dominique blanchar woman disappears mediterranean boating trip search lover best friend become attracted
"https://m.media-amazon.com/images/M/MV5BMzY2NTA1MzUwN15BMl5BanBnXkFtZTgwOTc4NTU4MjE@._V1_UX67_CR0,0,67,98_AL_.jpg",Hiroshima mon amour,"Drama, Romance",Alain Resnais,"Drama, Romance Alain Resnais Emmanuelle Riva Eiji Okada Stella Dassas Pierre Barbaud A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.",drama romance alain resnais emmanuelle riva eiji okada stella dassas pierre barbaud french actress filming antiwar film hiroshima affair married japanese architect share differing perspectives war,drama romance alain resnais emmanuelle riva eiji okada stella dassas pierre barbaud french actress filming antiwar film hiroshima affair married japanese architect share differing perspective war
"https://m.media-amazon.com/images/M/MV5BODcxYjUxZDgtYTQ5Zi00YmQ1LWJmZmItODZkOTYyNDhiNWM3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",The Ten Commandments,"Adventure, Drama",Cecil B. DeMille,"Adventure, Drama Cecil B. DeMille Charlton Heston Yul Brynner Anne Baxter Edward G. Robinson Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",adventure drama cecil b demille charlton heston yul brynner anne baxter edward g robinson moses egyptian prince learns true heritage hebrew divine mission deliverer people,adventure drama cecil b demille charlton heston yul brynner anne baxter edward g robinson moses egyptian prince learns true heritage hebrew divine mission deliverer people
"https://m.media-amazon.com/images/M/MV5BYWQ3YWJiMDEtMDBhNS00YjY1LTkzNmEtY2U4Njg4MjQ3YWE3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",The Searchers,"Adventure, Drama, Western",John Ford,"Adventure, Drama, Western John Ford John Wayne Jeffrey Hunter Vera Miles Ward Bond An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.",adventure drama western john ford john wayne jeffrey hunter vera miles ward bond american civil war veteran embarks journey rescue niece comanches,adventure drama western john ford john wayne jeffrey hunter vera mile ward bond american civil war veteran embarks journey rescue niece comanche
"https://m.media-amazon.com/images/M/MV5BMzE1MzdjNmUtOWU5MS00OTgwLWIzYjYtYTYwYTM0NDkyOTU1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX67_CR0,0,67,98_AL_.jpg",East of Eden,Drama,Elia Kazan,"Drama Elia Kazan James Dean Raymond Massey Julie Harris Burl Ives Two brothers struggle to maintain their strict, Bible-toting father's favor.",drama elia kazan james dean raymond massey julie harris burl ives two brothers struggle maintain strict bibletoting fathers favor,drama elia kazan james dean raymond massey julie harris burl ives two brother struggle maintain strict bibletoting father favor
"https://m.media-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",High Noon,"Drama, Thriller, Western",Fred Zinnemann,"Drama, Thriller, Western Fred Zinnemann Gary Cooper Grace Kelly Thomas Mitchell Lloyd Bridges A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",drama thriller western fred zinnemann gary cooper grace kelly thomas mitchell lloyd bridges town marshal despite disagreements newlywed bride townspeople around must face gang deadly killers alone high noon gang leader outlaw sent years ago arrives noon train,drama thriller western fred zinnemann gary cooper grace kelly thomas mitchell lloyd bridge town marshal despite disagreement newlywed bride townspeople around must face gang deadly killer alone high noon gang leader outlaw sent year ago arrives noon train
"https://m.media-amazon.com/images/M/MV5BNzkwNjk4ODgtYjRmMi00ODdhLWIyNjUtNWQyMjg2N2E2NjlhXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX67_CR0,0,67,98_AL_.jpg",Strangers on a Train,"Crime, Film-Noir, Thriller",Alfred Hitchcock,"Crime, Film-Noir, Thriller Alfred Hitchcock Farley Granger Robert Walker Ruth Roman Leo G. Carroll A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.",crime filmnoir thriller alfred hitchcock farley granger robert walker ruth roman leo g carroll psychopath forces tennis star comply theory two strangers get away murder,crime filmnoir thriller alfred hitchcock farley granger robert walker ruth roman leo g carroll psychopath force tennis star comply theory two stranger get away murder
